127.0.0.1 - - [03/Jun/2025:09:36:20 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:21 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /board/list HTTP/1.1" 200 32556
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 200 25098
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [03/Jun/2025:09:36:23 +0900] "GET /favicon.ico HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:01:29 +0900] "GET /uploadAjax HTTP/1.1" 200 5641
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:01:35 +0900] "GET /uploadForm HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:01:41 +0900] "POST /uploadForm HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:01:51 +0900] "GET /uploadAjax HTTP/1.1" 200 5641
